movie_id,title,year,release_date,revenue,budget,runtime,genres,popularity,vote_average,vote_count,original_language,type,cast
4348,Pride & Prejudice,2005,2005-09-16,124503070,28000000,127,"['Drama', 'Romance']",30.5975,8.066,8209,en,oscar,
4512,The Assassination of Jesse James by the Coward Robert Ford,2007,2007-09-20,14711793,30000000,159,"['Drama', 'Western']",7.8594,7.034,2563,en,oscar,
4517,Elizabeth: The Golden Age,2007,2007-09-09,74237563,55000000,114,"['Drama', 'History', 'Romance']",5.8721,6.701,1244,en,oscar,
4523,Enchanted,2007,2007-11-20,340487652,85000000,107,"['Comedy', 'Family', 'Fantasy', 'Romance']",13.7984,6.836,5474,en,commercial,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel']"
4564,Sex and the City,2008,2008-05-12,418800000,65000000,146,"['Comedy', 'Drama', 'Romance']",16.5246,6.6,2149,en,commercial,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'Chris Noth']"
4566,Michael Clayton,2007,2007-09-28,92991835,25000000,119,"['Drama', 'Thriller', 'Crime']",5.9235,6.777,1791,en,oscar,
4771,Gone Baby Gone,2007,2007-09-18,34600000,19000000,113,"['Crime', 'Drama', 'Mystery']",7.0882,7.306,3866,en,oscar,
4922,The Curious Case of Benjamin Button,2008,2008-12-25,335800000,150000000,166,"['Drama', 'Fantasy', 'Romance']",15.5945,7.591,13023,en,both,"['Brad Pitt', 'Cate Blanchett', 'Taraji P. Henson', 'Julia Ormond', 'Jason Flemyng']"
4935,Howl's Moving Castle,2004,2004-09-09,236049757,24000000,119,"['Fantasy', 'Animation', 'Adventure']",27.7707,8.396,10241,ja,commercial,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gashûin', 'Ryunosuke Kamiki']"
4982,American Gangster,2007,2007-11-02,266500000,100000000,157,"['Drama', 'Crime']",15.8878,7.59,5575,en,both,"['Denzel Washington', 'Russell Crowe', 'Josh Brolin', 'Chiwetel Ejiofor', 'Cuba Gooding Jr.']"
5038,Vicky Cristina Barcelona,2008,2008-08-15,96409830,15000000,96,"['Drama', 'Romance']",5.5271,6.8,3781,en,oscar,
5174,Rush Hour 3,2007,2007-08-08,258097122,140000000,90,"['Action', 'Comedy', 'Crime']",12.264,6.477,3400,en,commercial,"['Jackie Chan', 'Chris Tucker', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal']"
5255,The Polar Express,2004,2004-11-10,318432432,165000000,100,"['Animation', 'Adventure', 'Family', 'Fantasy']",9.6843,6.719,6476,en,commercial,"['Tom Hanks', 'Leslie Zemeckis', 'Eddie Deezen', 'Nona Gaye', 'Peter Scolari']"
5559,Bee Movie,2007,2007-10-28,287594577,150000000,91,"['Family', 'Animation', 'Adventure', 'Comedy']",11.81,6.022,4941,en,commercial,"['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton', 'John Goodman']"
5915,Into the Wild,2007,2007-09-21,56255142,15000000,148,"['Adventure', 'Drama']",16.1886,7.797,9659,en,oscar,
6477,Alvin and the Chipmunks,2007,2007-12-13,361366633,60000000,92,"['Comedy', 'Family', 'Fantasy']",12.5448,5.807,4511,en,commercial,"['Jason Lee', 'David Cross', 'Cameron Richardson', 'Jane Lynch', 'Justin Long']"
6479,I Am Legend,2007,2007-12-12,585410052,150000000,101,"['Drama', 'Science Fiction', 'Thriller']",17.4685,7.207,16005,en,commercial,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Dash Mihok', 'Salli Richardson-Whitfield']"
6538,Charlie Wilson's War,2007,2007-12-19,119483446,75000000,102,"['Comedy', 'Drama', 'History']",5.0452,6.536,1531,en,oscar,
6637,National Treasure: Book of Secrets,2007,2007-12-19,459200000,130000000,124,"['Action', 'Adventure', 'Mystery', 'Thriller']",8.6212,6.361,5231,en,commercial,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Ed Harris', 'Jon Voight']"
6947,The Village,2004,2004-07-30,256700000,60000000,108,"['Drama', 'Mystery', 'Thriller']",7.7706,6.479,4285,en,commercial,"['Bryce Dallas Howard', 'Joaquin Phoenix', 'Adrien Brody', 'William Hurt', 'Sigourney Weaver']"
6973,In the Valley of Elah,2007,2007-09-14,29541790,23000000,124,"['History', 'Drama', 'Thriller', 'Crime', 'Mystery']",3.3975,6.8,1012,en,oscar,
6977,No Country for Old Men,2007,2007-06-13,171627166,25000000,122,"['Crime', 'Drama', 'Thriller']",20.4886,7.944,12323,en,oscar,
7131,Van Helsing,2004,2004-05-03,300257475,160000000,132,"['Horror', 'Adventure', 'Action']",14.7601,6.373,6150,en,commercial,"['Hugh Jackman', 'Kate Beckinsale', 'Richard Roxburgh', 'David Wenham', 'Shuler Hensley']"
7326,Juno,2007,2007-12-05,232372681,7500000,96,"['Comedy', 'Drama', 'Romance']",8.3818,7.053,7272,en,oscar,
7345,There Will Be Blood,2007,2007-12-26,77208711,25000000,158,['Drama'],12.745,8.073,6798,en,oscar,
7446,Tropic Thunder,2008,2008-08-09,195702811,92000000,107,"['Action', 'Comedy', 'Adventure', 'War']",11.4889,6.685,6370,en,oscar,
